loại nhà đất,địa chỉ,giá,diện tích,giá/m2,mặt tiền,phòng ngủ,pháp lý,tọa độ x,tọa độ y,số tầng
0,20,6800.0,100.0,68.0,,1.0,2.0,10826079472.657614,106818467562.87814,
0,0,2400.0,85.0,28.24,,2.0,2.0,10707152799.7,106600026492.024,
0,20,5690.0,82.4,69.03,,2.0,2.0,10826561403.222206,106818841059.85884,
0,0,2600.0,84.0,30.95,,2.0,1.0,10706707710.1917,106600102515.535,
0,2,14980.0,106.0,141.32,,2.0,1.0,10789870197.5662,106717428459.134,
4,22,55000.0,368.6,149.21,13.0,,1.0,10810587548.5778,106666501170.781,3.0
0,13,17060.0,103.7,164.51,,3.0,2.0,10794650734.5808,106753349560.669,
0,0,2600.0,85.0,30.59,,2.0,1.0,10706527979.063889,106599606207.05267,
0,9,46000.0,92.0,500.0,,1.0,2.0,10778080144.4118,106706890421.052,
0,20,2620.0,43.61,60.0,,1.0,2.0,10826169902.000946,106818627178.44026,
3,13,21000.0,102.0,205.88,,,1.0,10776598372.8922,106787132378.869,
0,20,4750.0,74.0,64.19,,2.0,,10841486557.186956,106839537919.63985,
0,20,5770.0,80.0,72.11,,2.0,2.0,10843087238.2472,106843864912.261,
0,20,4400.0,73.81,59.61,,2.0,1.0,10840288376.266592,106839280743.47395,
0,20,4600.0,74.68,61.6,,,,10841323864.978537,106839803910.28407,
0,18,3400.0,70.0,48.57,,2.0,2.0,10730475663.6734,106732781489.578,
0,20,5600.0,82.4,68.0,,2.0,2.0,10826285442.2094,106819177601.788,
0,20,5440.0,80.0,68.0,,2.0,2.0,10826702808.8642,106819282305.738,
0,9,20000.0,100.0,200.0,,3.0,,10784106254.5776,106703651428.223,
3,20,75000.0,391.0,191.82,17.4,,2.0,10841063568.57393,106839587341.29146,3.0
0,20,2400.0,36.0,66.67,,1.0,2.0,10826564954.916954,106819727419.95386,
0,20,3250.0,51.0,63.72,,,,10844207134.454676,106846048978.96312,
3,7,70000.0,1.583,44.22,20.0,5.0,1.0,10711724184.5325,106693393758.844,4.0
0,20,3250.0,51.0,63.72,,,,10843188675.93234,106845657825.11632,
0,23,9600.0,163.0,58.9,,2.0,2.0,10806465331.84645,106615814650.14903,
0,20,7000.0,115.0,60.87,,3.0,2.0,10826500558.3669,106819770768.106,
0,13,8000.0,55.0,145.46,,1.0,2.0,10794480639.2773,106753992835.894,
0,20,4800.0,77.27,62.09,,1.0,2.0,10826492981.508114,106818820384.56978,
0,9,20000.0,56.0,357.14,,1.0,1.0,10778969488.899818,106706974803.87576,
0,20,4100.0,74.0,55.4,,2.0,,10838667488.325537,106839438570.55194,
0,13,9000.0,64.0,140.62,,1.0,1.0,10782610520.4259,106719186630.401,
0,18,10700.0,118.0,90.68,,3.0,1.0,10721879752.779612,106712499385.68288,
0,15,5800.0,70.0,82.86,,2.0,1.0,10755169868.4692,106694236755.371,
0,13,18000.0,82.0,219.51,,2.0,2.0,10779128212.2988,106715594682.257,
0,13,16500.0,107.0,154.21,,2.0,,10779106692.5387,106716054865.398,
0,13,20000.0,70.0,285.71,,2.0,2.0,10772439357.0533,106713309544.323,
0,13,52000.0,151.0,344.37,,3.0,2.0,10778961490.8255,106715804995.54,
6,0,6500.0,100.0,65.0,5.0,,2.0,10719620539.2611,106686333083.308,
4,19,12500.0,72.0,173.61,4.0,4.0,1.0,10739593810.6877,106678103254.621,4.0
3,11,36000.0,140.0,257.14,10.0,6.0,1.0,10767052790.4831,106648794905.543,6.0
0,19,3490.0,79.0,44.18,,2.0,,10743937693.7774,106675256257.807,
2,18,7300.0,46.8,155.98,3.6,4.0,1.0,10750890318.1784,106728356318.65,3.0
0,19,1450.0,62.0,23.39,,2.0,2.0,10700236441.856998,106625399934.523,
4,8,35900.0,132.0,271.97,8.2,,1.0,10798422306.5204,106688630923.305,4.0
0,13,7800.0,83.0,93.98,,2.0,1.0,10776796884.634,106756567185.456,
0,13,7400.0,90.0,82.22,,3.0,2.0,10788229540.3386,106751653685.734,
3,21,18300.0,100.0,183.0,5.0,5.0,,10844298993.094608,106717763240.74156,5.0
4,23,13500.0,50.4,267.86,4.0,7.0,1.0,10791970173.1772,106627828550.032,4.0
0,7,2600.0,47.0,55.32,,2.0,2.0,10704989406.43974,106702931040.72958,
0,13,14900.0,84.0,177.38,,2.0,1.0,10778350572.294369,106715095075.49036,
0,13,9800.0,73.0,134.25,,2.0,,10803964227.9479,106775961353.972,
0,13,17500.0,83.0,210.84,,2.0,2.0,10778758014.42169,106715607805.31128,
0,7,4780.0,104.0,45.96,,2.0,1.0,10710157011.1848,106708152413.472,
0,13,30000.0,239.0,125.52,,5.0,1.0,10776352186.068,106756151268.014,
0,13,8200.0,89.0,92.14,,2.0,2.0,10779596387.4213,106746584412.563,
0,7,5550.0,85.0,65.29,,2.0,2.0,10705130116.8244,106712956657.733,
4,22,7900.0,44.0,179.54,,,1.0,10799411231.4707,106641171694.075,
2,22,9200.0,60.85,151.19,,,,10792309469.9531,106643307000.952,
0,13,7400.0,48.4,152.89,,1.0,2.0,10804532148.1856,106776517975.795,
0,2,7800.0,85.0,91.76,,2.0,1.0,10790954515.23118,106718846904.6358,
0,2,7800.0,90.0,86.67,,2.0,1.0,10790362358.0933,106718391418.457,
2,9,4500.0,21.5,209.3,2.0,2.0,1.0,10794430247.6809,106689662746.976,2.0
4,10,35000.0,100.0,350.0,4.0,,1.0,10773103103.8588,106676697663.611,4.0
0,13,44800.0,183.0,244.81,,3.0,2.0,10784698314.7051,106729735477.882,
0,20,2650.0,65.0,40.77,,2.0,1.0,10800829532.768518,106821865162.00089,
0,2,11800.0,88.0,134.09,,2.0,,10789584635.512,106717935360.995,
0,23,6000.0,85.0,70.59,,2.0,2.0,10804392991.1465,106616950141.934,
0,1,2900.0,56.0,51.79,,2.0,1.0,10722459272.1028,106611297013.713,
0,13,15600.0,88.0,177.27,,2.0,2.0,10781172381.639908,106720573876.23848,
0,13,16500.0,107.0,154.21,,2.0,2.0,10779145207.5381,106715637085.312,
0,13,8900.0,89.0,100.0,,2.0,1.0,10779068768.391,106747073444.006,
4,19,10500.0,120.0,87.5,3.0,7.0,1.0,10702364713.9295,106624067696.307,3.0
0,2,15800.0,98.0,161.22,,3.0,1.0,10794894926.804,106721326914.382,
0,20,2190.0,33.0,66.36,,,2.0,10836015219.703032,106847797475.39355,
0,2,8350.0,81.0,103.09,,2.0,1.0,10795195265.1213,106720699860.014,
0,20,2600.0,51.3,50.68,,1.0,1.0,10843504196.511,106845921933.104,
4,14,60000.0,107.4,558.66,4.0,10.0,1.0,10777440811.0009,106691306233.406,8.0
4,21,45000.0,1.0,45.0,13.8,,1.0,10866521667.3327,106790149548.749,
0,20,4880.0,75.0,65.07,,2.0,2.0,10841024443.7835,106839914156.773,
0,7,5200.0,80.0,65.0,,2.0,2.0,10704860157.309324,106712207972.17352,
0,20,2600.0,65.0,40.0,,1.0,1.0,10801124241.6469,106822016905.596,
5,12,15000.0,100.0,150.0,5.0,5.0,1.0,10845365208.717125,106620259738.54024,4.0
2,21,7000.0,70.0,100.0,10.0,6.0,1.0,10844503581.754,106716291698.91,6.0
3,20,24000.0,200.0,120.0,8.0,6.0,1.0,10838970361.0724,106830149753.839,
3,5,43000.0,180.0,238.89,9.0,5.0,1.0,10823675772.031006,106692239021.80048,5.0
7,0,2950.0,113.0,26.11,,,1.0,10662897029.3031,106567319688.359,
0,18,5500.0,80.0,68.75,,3.0,1.0,10750546970.7466,106723088724.091,
0,19,2700.0,50.0,54.0,,1.0,,10739302129.057146,106644290642.19946,
0,2,11500.0,136.0,84.56,,3.0,1.0,10790566845.708887,106718104432.82256,
2,5,4750.0,60.0,79.17,4.0,2.0,1.0,10838103267.7009,106636387525.243,2.0
0,2,22500.0,160.0,140.62,,4.0,1.0,10795016661.26851,106720987852.81113,
3,7,10900.0,106.0,102.83,3.0,4.0,1.0,10690980039.040474,106721648044.7349,3.0
2,22,8490.0,64.0,132.66,6.2,4.0,1.0,10783774952.4055,106652283134.557,3.0
0,0,4560.0,76.0,60.0,,3.0,2.0,10733545778.6556,106690033793.469,
0,23,2500.0,63.0,39.68,,2.0,1.0,10772393871.8573,106625085386.493,
7,7,5050.0,100.0,50.5,6.5,,1.0,10703500360.9029,106703651533.806,
0,13,8500.0,92.0,92.39,,3.0,1.0,10802551423.1748,106741581898.766,
0,13,8200.0,85.0,96.47,,2.0,1.0,10777368429.1239,106755446507.258,
2,23,15000.0,167.7,89.44,2.0,3.0,1.0,10800232725.436,106621365798.208,2.0
0,13,16500.0,180.0,91.67,,3.0,2.0,10777559798.2086,106751410442.833,
4,21,42000.0,330.0,127.27,30.0,3.0,1.0,10844746981.6177,106769363202.973,1.0
0,19,1700.0,50.0,34.0,,1.0,2.0,10734427980.1734,106636118972.708,
0,14,5900.0,58.0,101.72,,2.0,1.0,10790966122.5598,106686205064.168,
4,5,118000.0,456.3,258.6,11.0,40.0,1.0,10835037654.120682,106684209108.35266,9.0
0,2,9500.0,120.0,79.17,,3.0,,10795453716.8904,106720713648.939,
0,23,8600.0,119.0,72.27,,3.0,2.0,10804003186.957716,106617464839.51956,
4,11,165000.0,336.0,491.07,,,1.0,10777974028.994,106656123880.237,
0,17,4500.0,102.0,44.12,,2.0,1.0,10746711806.9966,106632962352.911,
3,20,8000.0,85.0,94.12,5.0,4.0,1.0,10795840827.269758,106792735285.4539,3.0
2,7,6600.0,55.0,120.0,4.6,4.0,,10678491325.4644,106753600904.793,4.0
4,20,42000.0,210.0,200.0,7.0,1.0,,10845932700.0,106795991200.0,6.0
4,21,9000.0,140.0,64.29,5.5,2.0,,10798823674.3513,106813212575.923,1.0
2,5,11800.0,72.0,163.89,4.5,,,10837937236.8471,106636522409.081,
2,2,6500.0,60.0,108.33,4.0,4.0,1.0,10798074061.2272,106710781063.831,2.0
0,20,2600.0,65.0,40.0,,2.0,1.0,10800482045.029226,106821785782.81715,
6,20,38350.0,295.0,130.0,15.0,,1.0,10803369666.6322,106785568514.055,
3,20,7800.0,80.0,97.5,5.0,4.0,1.0,10795854796.8718,106792270333.941,3.0
0,20,2350.0,57.0,41.23,,,1.0,10784109310.313398,106800674064.433,
